X,Y,Z
2.023223933,-1.503518048,-2.216518172
2.025761689,-1.505430218,-2.219315129
2.02678003,-1.50868207,-2.222180332
2.018686888,-1.511619257,-2.219980989
2.000133695,-1.512391948,-2.211369771
1.980000823,-1.511005383,-2.201321852
1.964078047,-1.507958919,-2.193412759
1.958998113,-1.505574768,-2.190935572
1.960075616,-1.505050567,-2.191524167
1.962589073,-1.506050345,-2.193172151
1.964036975,-1.50719003,-2.194731019
1.964556739,-1.507771572,-2.19593947
1.965304737,-1.508832768,-2.19679244
1.967070045,-1.511263122,-2.197719352
1.969127872,-1.513582302,-2.198551765
1.971207651,-1.510585881,-2.190409142
1.978124928,-1.484436694,-2.131358866
2.002621193,-1.39290844,-1.928614504
2.055251698,-1.188690475,-1.493882868
2.147441486,-0.790956104,-0.683895609
2.262970084,-0.20131517,0.46935846
2.370638315,0.499004434,1.789494574
2.439559216,1.162507276,2.986621743
2.456818943,1.636328124,3.776852699
2.428035316,1.889862148,4.102058752
2.369601582,1.878572209,3.925325324
2.287836136,1.631787453,3.324307207
2.207098231,1.247906817,2.541240721
2.134394257,0.823044065,1.744390534
2.063536319,0.357559238,0.91142503
2.001835672,-0.08365377,0.138619228
1.954641448,-0.466414666,-0.526195369
1.931184917,-0.749059534,-1.007068403
1.942111631,-0.866208578,-1.180467289
1.999456862,-0.754157306,-0.923064121
2.103508966,-0.348940776,-0.126027563
2.23111305,0.299489022,1.111558674
2.338709732,0.999820289,2.433040877
2.40921146,1.6770881,3.69416471
2.422388223,2.139322374,4.513471647
2.391555688,2.345968224,4.796317407
2.336043911,2.303411204,4.573006456
2.269235275,2.05732491,3.982317086
2.201045007,1.686427099,3.223202169
2.128165085,1.208357234,2.333441211
2.057325896,0.690047015,1.420972635
1.992972571,0.184856073,0.552748117
1.940869859,-0.249211882,-0.189065027
1.89610275,-0.645942965,-0.868644737
1.863879176,-0.95217677,-1.396215104
1.846468175,-1.153146212,-1.739866627
1.854764883,-1.214239189,-1.825782968
1.905542532,-1.078087293,-1.54233239
1.998960264,-0.722105479,-0.85650395
2.134978106,-0.094723926,0.321637575
2.270796663,0.681662475,1.758490247
2.363714488,1.415578431,3.096010314
2.392268567,1.935229603,4.004719719
2.3654983,2.142513997,4.303927136
2.301372038,2.077459574,4.072733877
2.223812577,1.783762261,3.439049603
2.14692079,1.351034726,2.605064285
2.075231942,0.852934102,1.710428924
2.01789591,0.392886928,0.918742238
1.977847632,-0.012303243,0.242400737
1.974191585,-0.223213612,-0.086381904
2.021827692,-0.163067233,0.074732525
2.107932093,0.190893643,0.759397588
2.220149959,0.804417896,1.922834521
2.315880722,1.500337245,3.239154915
2.362680865,2.080627587,4.320923853
2.353904397,2.408961562,4.882179936
2.306651209,2.455124935,4.861012763
2.247052743,2.277085225,4.411571388
