X,Y,Z
1.641843416,3.279273034,-11.51259565
1.836784239,2.941204032,-10.45116147
2.166820554,2.352902292,-8.632827409
2.244685979,2.210599397,-8.1999117
2.31864465,2.074494475,-7.787925028
2.765094228,1.225481377,-5.301270974
3.066495431,0.641933864,-3.717941724
3.271584362,0.275775501,-2.807336962
3.393673001,0.102379822,-2.409738513
3.439571894,0.105626057,-2.475341676
3.408217596,0.26758947,-3.002691487
3.305061431,0.586143364,-4.044116511
3.124193934,1.021763779,-5.452406711
2.844723311,1.536073491,-7.059127801
2.491367152,2.045792681,-8.577797119
2.139724425,2.493123168,-9.815634009
1.814560464,2.920264708,-10.86910533
1.545893263,3.320045595,-11.76519199
1.302145915,3.707359982,-12.63910645
1.066303552,4.061165403,-13.49406342
0.875929944,4.333121818,-14.17293744
0.715601171,4.571257193,-14.7669386
0.596141417,4.757052536,-15.24041542
0.513298809,4.880785634,-15.55867456
0.48283887,4.914718279,-15.6039443
0.55828086,4.789364417,-15.1333718
0.759021989,4.494702123,-14.13541865
1.070738507,4.04660243,-12.71282631
1.443707407,3.493094783,-11.0590738
1.807045255,2.925141115,-9.423093452
2.18240545,2.306133808,-7.668385107
2.506770847,1.742658316,-6.077710751
2.820139072,1.166164325,-4.462366881
3.089657765,0.64055702,-3.047721904
3.338509636,0.148443549,-1.82761236
3.538505039,-0.207372391,-1.050058341
3.647518998,-0.331866123,-0.851800229
3.668239522,-0.229839036,-1.222444163
3.588140553,0.086300653,-2.216890426
3.410455814,0.601667083,-3.873759639
3.182207085,1.169126812,-5.672490804
2.881003511,1.812179786,-7.623400745
2.580084578,2.360189498,-9.244846672
2.289576597,2.835108959,-10.67094929
1.993601757,3.307559512,-12.10503342
1.754027463,3.701462019,-13.27417097
1.535388181,4.061482083,-14.29690619
1.344467167,4.362132616,-15.11439738
1.207982902,4.566138771,-15.65776197
1.139680573,4.65607223,-15.85286852
1.191060445,4.54642716,-15.38874053
1.379038097,4.199920771,-14.10348287
1.656100637,3.699571314,-12.3219414
1.956828039,3.151404196,-10.45090401
2.288250882,2.518784682,-8.425732529
2.596353127,1.887385829,-6.566577524
2.883704308,1.266022776,-4.857022876
3.167093143,0.645347538,-3.215643408
3.431104509,0.085535042,-1.771839987
3.647430715,-0.342714424,-0.684846722
3.795979096,-0.607713122,-0.02879872
3.902926919,-0.740626088,0.237672166
3.927674096,-0.65321451,-0.10332154
3.868201644,-0.301856706,-1.192811068
3.724654767,0.202622641,-2.712168077
3.484558142,0.849320522,-4.658250902
3.213571614,1.491251351,-6.579674009
2.948413582,2.131864064,-8.435772655
2.711500275,2.749398247,-10.11324943
2.493510575,3.267157829,-11.48619211
2.266149372,3.676140385,-12.68242098
2.04995553,3.969546515,-13.71891502
1.864623382,4.176667761,-14.56226694
1.745992175,4.288865746,-15.0005029
1.72663712,4.262413759,-14.82127137
1.849799052,4.002483049,-13.72705515
2.080049589,3.553838722,-12.01279863
2.386358422,2.937163652,-9.855822994
2.674660884,2.318665669,-7.907351457
2.956688877,1.694789347,-6.109865799
3.217893508,1.134420184,-4.570618026
3.446655061,0.683510031,-3.349576563
3.609392084,0.397804232,-2.577541947
