X,Y,Z
-6.455046897,9.138666575,-7.226554618
-6.459326308,9.198517872,-7.39574924
-6.476764613,9.283173782,-7.600516955
-6.494738898,9.354939789,-7.765487553
-6.498184831,9.369678162,-7.79722735
-6.477381476,9.296895113,-7.59846882
-6.428334236,9.088455717,-7.029496421
-6.356691356,8.716731319,-6.056318785
-6.264550473,8.20631007,-4.792220884
-6.159302692,7.700354465,-3.590677778
-6.044098111,7.29175817,-2.651030653
-5.954478511,7.101605438,-2.25251232
-5.919013251,7.17285976,-2.494151095
-5.943851823,7.468393477,-3.268075581
-6.009241828,7.890894991,-4.33684614
-6.087368294,8.320586658,-5.424330587
-6.157837065,8.682252387,-6.345060773
-6.221039446,8.962140385,-7.039714761
-6.269084346,9.047955914,-7.220832861
-6.276759202,8.819551726,-6.647561789
-6.20796097,8.290670935,-5.432455118
-6.05669496,7.692206942,-4.143201996
-5.879575863,7.308773961,-3.368300373
-5.75029957,7.222650383,-3.209584963
-5.707366029,7.319531865,-3.400946755
-5.740474515,7.500952515,-3.787992172
-5.802475792,7.770129137,-4.402257143
-5.826360342,8.061271562,-5.033041729
-5.773285061,8.19306893,-5.225170872
-5.678658889,8.063636444,-4.807452624
-5.60960374,7.789289771,-4.133171462
-5.59556662,7.592174354,-3.727805422
-5.605436033,7.563905245,-3.719940695
-5.608440325,7.62430999,-3.849779998
-5.607961398,7.687498275,-3.914857671
-5.623225673,7.75664661,-3.987343163
-5.645100411,7.834561393,-4.109941231
-5.63973921,7.814240353,-4.036598786
-5.597110237,7.600831686,-3.565917727
-5.542011042,7.234586093,-2.803635303
-5.490510309,6.810518758,-1.92297854
-5.414949001,6.327153062,-0.850086481
-5.291622327,5.844887858,0.292256764
-5.151758137,5.583294652,0.954130937
-5.050752478,5.703616834,0.729767189
-5.026067581,6.124131231,-0.186435656
-5.065407625,6.686791331,-1.415022233
-5.134902045,7.249884588,-2.648255153
-5.196362483,7.804340809,-3.864896423
-5.229600828,8.337055963,-5.001811929
-5.250209084,8.778961899,-5.86406826
-5.300259443,9.079751741,-6.145482264
-5.423318416,9.248253064,-5.612938613
-5.637498767,9.311726059,-4.501126017
-5.885869084,9.158786891,-3.378048232
-6.012466415,8.654892504,-2.626074513
-5.92815682,7.906630177,-2.176902105
-5.751654798,7.229597502,-1.958385055
-5.734435293,6.909862583,-2.037264771
-5.956137588,6.950094038,-2.319038567
-6.228448117,7.147972923,-2.529237369
-6.289647007,7.255241056,-2.41377533
-6.131586468,7.202448504,-1.972141428
-5.947109109,7.098630394,-1.479280506
-5.87414116,7.100654615,-1.253341261
-5.906319298,7.28307301,-1.447886698
-5.996686956,7.628898292,-1.916889329
-6.153416282,8.073666254,-2.435753765
-6.357311912,8.49743404,-2.879758305
-6.52108876,8.799598682,-3.258099361
-6.587075391,8.938140579,-3.535275555
-6.576139488,8.934594324,-3.70047857
-6.526366734,8.836266137,-3.863464906
-6.464828566,8.734985595,-4.204599872
-6.423071455,8.729724826,-4.670142436
-6.405452343,8.814213614,-5.053688249
-6.374204872,8.924811118,-5.39638682
-6.297206308,9.044553908,-5.945545395
-6.185009194,9.215262585,-6.84853772
-6.093100004,9.42441259,-7.822066202
-6.053645873,9.621528172,-8.549035119
-6.057051692,9.76130207,-8.905426992
-6.066668523,9.872524809,-9.102809865
-6.065046695,9.969400056,-9.263344351
-6.051236107,10.03563663,-9.359063096
-6.024553171,10.04875355,-9.343158196
-5.987306178,10.02961975,-9.275180378
-5.953080624,10.01853284,-9.228045152
-5.944690324,10.03366075,-9.20151619
-5.972783286,10.06677116,-9.168063144
-6.02668977,10.10975863,-9.160059375
-6.085396795,10.16515745,-9.224284226
-6.128760153,10.22052651,-9.332056325
-6.160174432,10.25452244,-9.40297599
-6.184843755,10.24298955,-9.372880025
-6.198985425,10.17961313,-9.234047778
-6.192648065,10.06889161,-8.973242071
-6.14558049,9.895602992,-8.472775852
-6.030983943,9.674297446,-7.683851902
-5.806599337,9.392830755,-6.537723163
-5.480213818,9.055134227,-5.163499436
-5.123520439,8.650078301,-3.756388778
-4.832477726,8.23598823,-2.586392671
-4.654254607,7.933836797,-1.892081066
-4.612875572,7.875709373,-1.868196329
-4.663086177,8.036187618,-2.37318862
-4.74813711,8.327285928,-3.187917422
-4.84448607,8.701735622,-4.240033345
-4.95952339,9.142565904,-5.513165405
-5.08691965,9.59654915,-6.847050931
-5.201870417,9.983357747,-7.995193221
-5.292035997,10.25670428,-8.807174467
-5.363077641,10.39832161,-9.197615869
-5.429226211,10.41916424,-9.205255516
-5.50141649,10.35051601,-9.007617205
-5.572021907,10.24486895,-8.845808486
-5.624793283,10.16787941,-8.839594722
-5.661622011,10.15056653,-8.955223105
-5.687935377,10.18936978,-9.111572554
-5.710899906,10.2447022,-9.263061276
-5.727744057,10.28013929,-9.380994168
-5.737011163,10.2871081,-9.453922505
-5.741533397,10.25923601,-9.424315899
-5.743859606,10.16561882,-9.173581005
-5.744853718,9.966612357,-8.615620026
-5.735591761,9.684881955,-7.858144267
-5.694495594,9.353439234,-6.980633747
-5.604662198,9.018116729,-6.050984177
-5.468747523,8.665005458,-5.008346062
-5.325158645,8.31385834,-3.961924502
-5.214811636,8.04832616,-3.21540697
-5.163391664,7.996185373,-3.143415952
-5.168714759,8.21399096,-3.843869507
-5.210265789,8.644468775,-5.078359775
-5.266125854,9.136059994,-6.385543608
-5.326028588,9.590850389,-7.52088289
-5.381375972,9.91311859,-8.292342048
-5.43386979,10.10522556,-8.747540995
-5.482204736,10.19810609,-8.973789142
-5.528270544,10.24388571,-9.087546815
-5.568093919,10.2523815,-9.111385629
-5.599557383,10.21531085,-9.041090318
-5.627632922,10.11845441,-8.851358996
-5.656024838,9.951047099,-8.491342091
-5.682529018,9.683602205,-7.859851267
-5.69582042,9.304847733,-6.942034786
-5.683949353,8.790552775,-5.740864227
-5.638719891,8.20775299,-4.460875369
-5.572535311,7.710099685,-3.442940494
-5.517158968,7.462374186,-3.010316823
-5.495989497,7.537737602,-3.283741484
-5.504475921,7.882241942,-4.136980703
-5.523254958,8.33503706,-5.222682693
-5.541459783,8.783585175,-6.297758692
-5.560538561,9.154254017,-7.174013322
-5.58492877,9.465279073,-7.871294492
-5.609706252,9.698362707,-8.361019575
-5.628086434,9.853445479,-8.685141959
-5.639549159,9.958128075,-8.927775439
-5.649660127,10.03529202,-9.114640202
-5.663958812,10.0864577,-9.210235459
-5.67465389,10.0828318,-9.132268144
-5.653307818,10.0096425,-8.826716399
-5.568964395,9.879280129,-8.307378692
-5.416936832,9.699801738,-7.607454461
-5.221315717,9.444963199,-6.715343321
-5.016492189,9.106156455,-5.675972216
-4.803802947,8.70212749,-4.568108433
-4.616689622,8.345487195,-3.704721844
-4.497116289,8.14271869,-3.333565073
-4.456934199,8.140059229,-3.505591829
-4.482238906,8.33739929,-4.13618323
-4.549938636,8.681888402,-5.058821533
-4.639264951,9.086806216,-6.087074169
-4.738086253,9.503136553,-7.140035794
-4.830850938,9.861057217,-8.044734605
-4.92225891,10.14496536,-8.740096022
-5.005088762,10.31788001,-9.136291105
-5.076502319,10.39768688,-9.313972735
-5.130951245,10.41595382,-9.383088986
-5.171314773,10.41420999,-9.43375191
-5.204538231,10.41230965,-9.468943164
-5.235222853,10.39369956,-9.413746898
-5.25593002,10.31999543,-9.167126557
-5.251205276,10.1650031,-8.672134336
-5.202875673,9.911238315,-7.88189435
-5.098656893,9.586015197,-6.876591192
-4.931983972,9.210231325,-5.719149043
-4.730335673,8.833361687,-4.57867897
-4.518531541,8.450205016,-3.491054407
-4.340936373,8.100026089,-2.617732159
-4.230864931,7.866788578,-2.171598913
-4.204201161,7.854617818,-2.340153382
-4.250453429,8.086448033,-3.08039999
-4.348348941,8.497646004,-4.203679426
-4.462948797,8.94416306,-5.376936998
-4.579057916,9.373588925,-6.505888635
-4.688227402,9.746273302,-7.483192915
-4.786935354,10.0191888,-8.178819922
-4.873223841,10.17913984,-8.566957427
-4.936516442,10.24126911,-8.714437945
-4.974922571,10.22769573,-8.683465814
-4.994246603,10.12334124,-8.411573187
-4.997117947,9.906197058,-7.814798292
-4.977541427,9.574443489,-6.890446822
-4.925343172,9.167545388,-5.779782846
-4.829337387,8.710268702,-4.587220303
-4.690697619,8.258978184,-3.470544313
-4.510786836,7.816950293,-2.413217547
-4.307702465,7.390560649,-1.382270817
-4.095404052,6.969939662,-0.328854766
-3.896768729,6.608359807,0.588614979
-3.742292472,6.411293331,1.053074371
-3.663970988,6.47168628,0.815203771
-3.670249989,6.771587566,-0.033543411
-3.744037678,7.205309205,-1.177965746
-3.857463107,7.672967657,-2.371229605
-3.981350719,8.125735893,-3.527703041
-4.09426778,8.546076664,-4.613084245
-4.197526651,8.947066531,-5.633814854
-4.294627414,9.312477858,-6.530704669
-4.392250379,9.635790758,-7.312424131
-4.492630408,9.901461662,-7.980949811
-4.590859796,10.09656674,-8.510752692
-4.686538934,10.24108071,-8.913990047
-4.772917849,10.34391018,-9.172310934
-4.842761717,10.40344262,-9.284140542
-4.890332682,10.4224092,-9.295319269
-4.917351536,10.41974267,-9.283105973
-4.930814799,10.41719585,-9.293027931
-4.938790068,10.4072825,-9.261173537
-4.941109922,10.33991556,-9.02446802
-4.92698834,10.1509811,-8.429771795
-4.878850518,9.815739482,-7.463872684
-4.790995863,9.396614756,-6.331562087
-4.66056948,8.925090182,-5.102395965
-4.507076469,8.467338186,-3.910154552
-4.37534783,8.119651277,-2.988343073
-4.289831551,7.931459975,-2.494990414
-4.264916731,7.951072026,-2.587326604
-4.282451476,8.145092257,-3.165981686
-4.3244887,8.437310786,-3.98727968
-4.381456348,8.776192306,-4.889844991
-4.442820348,9.139926702,-5.81771731
-4.49359935,9.526542701,-6.778286282
-4.52422055,9.880122114,-7.642427353
-4.548485953,10.18074493,-8.356755301
-4.580738462,10.39324644,-8.825448745
-4.620146244,10.51321299,-9.052240163
-4.658584252,10.56148338,-9.125903778
-4.687405458,10.56436288,-9.145064099
-4.710145438,10.5585148,-9.185367055
-4.729680744,10.56529623,-9.243653725
-4.747990622,10.5675027,-9.233700168
-4.758212646,10.51529861,-9.030515538
-4.751647272,10.3553499,-8.521153396
-4.715535439,10.06216112,-7.66172844
-4.643031115,9.665689783,-6.539155339
-4.533633213,9.183459856,-5.200493319
-4.409258942,8.680692452,-3.834499134
-4.281075111,8.177303496,-2.514118873
