X,Y,Z
-2.012176731,-0.664416516,6.01619342
-2.117588995,-0.151878826,6.418662988
-2.220833092,0.350116756,6.812854379
-2.322170489,0.842841547,7.199765892
-2.423816488,1.337066824,7.58785566
-2.528262357,1.8448755,7.986590814
-2.628478482,2.329540335,8.365991756
-2.717066565,2.738922286,8.680059459
-2.771252681,2.919838838,8.7999578
-2.774444069,2.695034184,8.574305356
-2.740604794,1.954352632,7.890771647
-2.671673553,0.610862582,6.660406124
-2.529907751,-1.219450006,5.008905458
-2.299704048,-3.149190702,3.315215421
-1.965288533,-5.267088222,1.516884208
-1.626041854,-7.119422809,0.007659738
-1.333528564,-8.622964758,-1.136888637
-1.088920757,-9.874063881,-2.009177022
-0.892800702,-10.81861926,-2.639599871
-0.779922776,-11.14472762,-2.863956361
-0.777148186,-10.67665563,-2.512890733
-0.894574084,-9.34383846,-1.434475892
-1.081964218,-7.527823895,0.134496389
-1.299994246,-5.515430443,1.963673719
-1.524422325,-3.520093067,3.817253931
-1.723079706,-1.739113417,5.413362045
-1.887485414,-0.309853501,6.612412039
-2.040035227,0.823819742,7.551910565
-2.173376779,1.706175595,8.298355983
-2.262786532,2.31292174,8.76985581
-2.316265345,2.703925448,9.011386059
-2.350579374,2.989292805,9.177010543
-2.376008824,3.187083727,9.32077003
-2.409340573,3.272865655,9.388381625
-2.46230946,3.185537641,9.27811315
-2.525417668,2.81307385,8.871481426
-2.548198668,2.131167862,8.169724489
-2.490211952,0.978944345,7.039921247
-2.375988922,-0.548330074,5.632571645
-2.259236997,-2.278609915,4.127104208
-2.105327662,-4.119702629,2.56425091
-1.864504292,-5.919887053,1.038534823
-1.579797194,-7.493532018,-0.288986718
-1.333291349,-8.719317704,-1.294615102
-1.171894464,-9.424252093,-1.815553817
-1.141665254,-9.2732919,-1.574322259
-1.22393575,-8.198354953,-0.532734267
-1.362114646,-6.378807294,1.131212767
-1.514265962,-4.23067233,3.039601916
-1.664843907,-2.291048651,4.714047624
-1.824230144,-0.68827628,6.036334652
-1.992182545,0.585974902,7.044946999
-2.144825088,1.560739272,7.824056804
-2.247326634,2.232307847,8.363439539
-2.309781061,2.717332496,8.723635501
-2.348262531,3.066514209,8.978407564
-2.379797006,3.315457679,9.189226026
-2.413694278,3.471720683,9.331918761
-2.439848551,3.506821382,9.341567757
-2.418124073,3.327438825,9.121044801
-2.332771101,2.800763901,8.560422042
-2.196176491,1.67445303,7.438102921
-2.043779106,0.097216718,5.934296875
-1.84166654,-1.728827348,4.257236487
-1.559344687,-3.615657944,2.595495714
-1.223513452,-5.443783147,1.059408793
-0.940192745,-7.093013044,-0.259797655
-0.752889842,-8.677059864,-1.474655351
-0.653136647,-9.972057198,-2.437834798
-0.601690002,-10.61731934,-2.875323958
-0.612364584,-10.35060689,-2.55125167
-0.72694788,-9.079862333,-1.370179887
-0.924845917,-7.145045535,0.37506715
-1.141976831,-4.970389524,2.318970213
-1.341842534,-2.835414752,4.221146394
-1.543245749,-0.867796572,5.986672904
-1.751689429,0.641138853,7.353112901
-1.945910263,1.721877676,8.296855229
-2.079726941,2.480713752,8.884141227
-2.140072888,2.999132543,9.240844001
-2.172218247,3.375412885,9.494141007
-2.208835677,3.628660626,9.659029571
-2.251070559,3.763249288,9.732966024
-2.283110764,3.752318464,9.687216833
-2.31318446,3.474185056,9.386960083
-2.327638806,2.794814142,8.699058372
-2.289806473,1.647322179,7.556372513
-2.182339544,-0.025819496,5.936516227
-2.012196361,-2.16042327,3.964985851
-1.79701771,-4.267489244,2.092342727
-1.514377122,-6.405770582,0.235049809
-1.254176878,-8.236501152,-1.290097623
-1.081429999,-9.652200428,-2.381347769
-0.989374172,-10.50816986,-2.974717649
-0.954318112,-10.44614892,-2.81861046
-0.973423839,-9.224267758,-1.702814427
-1.069864354,-7.25899511,0.049595742
-1.245265636,-5.077434569,2.013344673
-1.452868904,-2.937035756,3.960123682
-1.64584428,-1.03007821,5.695618339
-1.831532168,0.48041334,7.05966025
-2.009347202,1.604660746,8.02765467
-2.120093601,2.363556823,8.601271478
-2.158991474,2.908069379,8.969075861
-2.173400505,3.312015004,9.241967479
-2.205295238,3.586162849,9.428205473
-2.250460469,3.758229269,9.547446871
-2.291399248,3.892096528,9.65183684
-2.325871789,3.969348536,9.707126049
-2.346307502,3.861988525,9.57847718
-2.346099547,3.406455417,9.107587429
-2.314945998,2.403684036,8.119437436
-2.245016469,0.839576605,6.631516221
-2.126766342,-1.086866426,4.869593963
-1.924469287,-3.379329045,2.862848604
-1.686832909,-5.495357461,1.074596494
-1.461525816,-7.41353298,-0.510624392
-1.274753192,-9.056661531,-1.839342652
-1.127575544,-10.28214153,-2.798825528
-1.03768139,-10.84510163,-3.203377151
-1.013052528,-10.63279329,-2.974321695
-1.053748702,-9.571884389,-2.039188977
-1.156710138,-7.785107716,-0.461451958
-1.310595423,-5.752771909,1.367524734
-1.494521375,-3.700171912,3.222770207
-1.661457464,-1.837990023,4.867902332
-1.799862566,-0.317618051,6.184874693
-1.941305681,0.881056302,7.237457763
-2.080146954,1.790900934,8.025536651
-2.172935325,2.421853507,8.514857243
-2.217714619,2.864610374,8.826173718
-2.243792067,3.191758318,9.058068399
-2.268953393,3.401654624,9.204941873
-2.294889135,3.540599898,9.303112157
-2.318263536,3.626068263,9.365873863
-2.347223526,3.580664069,9.307550272
-2.388647403,3.268689323,9.009948119
-2.440777733,2.407049919,8.215131256
-2.455123764,0.908347675,6.8355595
-2.394104256,-1.03678611,5.065215355
-2.242828784,-3.251436951,3.102825099
-2.005923,-5.570819651,1.109346668
-1.737045441,-7.757679318,-0.712722981
-1.486905424,-9.698415233,-2.273776747
-1.282378967,-11.243632,-3.463448573
-1.142000137,-12.20415078,-4.136115424
-1.105723504,-12.21519203,-4.011640294
-1.167947746,-11.17594411,-3.018486377
-1.292749371,-9.24317209,-1.29787008
-1.429814463,-7.019996197,0.63598031
-1.576381257,-4.858751037,2.512811461
-1.732100593,-2.90034947,4.227022088
-1.870252701,-1.165998645,5.748625896
-1.978503761,0.259751365,7.002063622
-2.087129871,1.425184021,8.01828165
-2.184089955,2.239504764,8.682518773
-2.248189966,2.777056374,9.077190671
-2.283071133,3.164744173,9.356087227
-2.306495988,3.456335645,9.561815619
-2.331639386,3.639060721,9.67513765
